Month	Date	Mean station level air pressure (hPa)	Mean sea level air pressure (hPa)	Total rainfall (mm)	Maximum rainfall per hour (mm)	Maximum rainfall per 10 minutes (mm)	Mean air temperature (℃)	Maximum temperature　(℃)	Minimum temperature　(℃)	Mean relative humidity　(%)	Minimum relative humidity (%)	Mean wind speed (m/s)	Maximum wind speed (m/s)	Direction of Maximum wind speed	Maximum instantaneous wind speed (m/s)	Direction of Maximum instantaneous wind speed	Sunshine duration (h)	Total snowfall (cm)	Maximum depth of snow cover (cm)	Meteorological summary 6:00-18:00	Meteorological summary 18:00- next day 6:00	
1	1	1014.9	1019.4	0.0	0.0	0.0	5.7	9.2	2.9	43	34	1.8	4.3	北北西	6.6	北西	3.3	--	--	曇	晴一時雨	
1	2	1005.2	1009.6	0.0	0.0	0.0	6.0	10.9	3.0	45	24	3.2	9.4	北西	20.7	北西	4.6	--	--	曇後晴	快晴	
1	3	1007.9	1012.4	--	--	--	6.6	10.4	3.8	29	16	3.2	7.4	北西	12.6	北西	5.2	--	--	晴時々曇	曇後晴	
1	4	1001.6	1006.1	0.0	0.0	0.0	5.4	9.4	2.0	39	28	3.0	8.7	北西	17.8	北西	7.7	--	--	晴後一時曇	晴一時曇	
1	5	1010.7	1015.2	--	--	--	5.5	9.7	1.9	28	15	3.3	7.5	北西	16.1	北西	9.2	--	--	快晴	晴	
1	6	1015.9	1020.4	--	--	--	6.3	9.8	2.9	35	21	2.7	4.8	北北西	8.0	北北西	5.9	--	--	晴一時曇	晴一時曇	
1	7	1019.9	1024.5	--	--	--	5.7	9.1	3.1	33	18	3.4	8.3	北北西	15.0	北北西	9.1	--	--	快晴	晴後一時曇	
1	8	1022.4	1026.9	--	--	--	5.8	9.6	2.6	29	20	2.9	6.2	北北西	11.1	西北西	8.2	--	--	晴一時曇	曇後時々晴	
1	9	1016.9	1021.5	--	--	--	5.9	9.4	2.8	44	33	1.6	3.4	北北西	5.2	北北西	9.0	--	--	快晴	快晴	
1	10	1015.6	1020.1	--	--	--	6.7	9.8	2.5	47	28	1.9	4.3	南南東	6.2	南南東	7.6	--	--	薄曇一時晴	曇後晴	
1	11	1009.1	1013.6	0.0	0.0	0.0	5.8	11.1	2.1	46	23	3.3	10.0	北北西	17.4	北西	4.7	--	--	曇時々晴	晴	
1	12	1017.4	1022.0	--	--	--	3.8	7.2	0.7	28	20	3.3	9.0	北北西	12.2	北北西	6.1	--	--	晴後時々曇	晴	
1	13	1009.1	1013.6	--	--	--	5.6	11.0	0.0	39	28	2.1	4.7	北北西	8.7	北北西	9.3	--	--	晴	快晴	
1	14	1009.6	1014.2	--	--	--	5.1	8.9	2.5	33	23	2.4	5.8	北北西	12.2	北西	6.2	--	--	晴	晴後薄曇	
1	15	1010.5	1015.0	--	--	--	4.5	6.5	2.3	38	29	2.1	4.6	北北西	7.5	北北西	1.3	--	--	曇	曇	
1	16	1012.9	1017.4	--	--	--	4.5	5.6	3.0	35	30	2.3	4.0	北北東	9.5	北西	0.0	--	--	曇	曇	
1	17	1014.9	1019.4	--	--	--	4.9	7.9	2.7	39	27	2.5	4.9	北北東	8.6	北東	6.3	--	--	曇後晴	晴	
1	18	1018.8	1023.3	--	--	--	5.4	9.1	1.5	43	33	1.8	3.8	北西	6.1	北北西	8.3	--	--	晴後薄曇	薄曇後晴	
1	19	1019.5	1024.1	0.0	0.0	0.0	6.2	10.2	2.5	50	42	2.8	5.6	北東	10.2	北東	3.6	--	--	曇	雨時々曇一時雪	
1	20	1016.7	1021.3	9.0	1.5	0.5	2.8	5.7	1.9	79	62	4.0	5.8	北北西	11.4	北西	0.0	--	--	みぞれ後一時雨	雨時々曇	
1	21	1014.5	1019.1	15.0	3.5	1.0	3.4	3.7	2.7	77	64	4.2	6.6	北北西	11.6	北北西	0.0	--	--	雨時々みぞれ	雨後一時曇	
1	22	1007.1	1011.6	3.0	2.0	0.5	5.3	8.0	3.2	78	65	2.6	4.8	北北西	8.6	北	0.6	--	--	雨後曇	晴後一時曇	
1	23	1004.0	1008.5	22.5	6.5	1.5	5.0	8.2	0.6	77	57	1.9	4.9	東北東	9.0	東北東	0.0	4	4	雨時々曇	雪時々雨後曇、雷を伴う	
1	24	1008.9	1013.4	0.5	1.5	0.5	3.0	5.0	0.8	51	30	2.8	5.5	北西	11.4	北西	5.6	--	2	晴後一時曇	曇後晴	
1	25	1005.5	1010.0	0.0	0.0	0.0	4.1	9.3	-0.1	53	23	2.1	5.3	北北西	10.4	北西	8.5	--	0	晴後一時曇	晴一時曇	
1	26	1011.5	1016.1	--	--	--	3.2	6.4	0.5	40	21	2.7	7.2	北西	11.7	北西	9.7	--	--	快晴	快晴	
1	27	1013.4	1017.9	--	--	--	3.2	8.0	-1.0	42	27	2.3	6.5	北西	11.5	北西	8.2	--	--	晴	晴	
1	28	1014.8	1019.3	--	--	--	2.6	6.1	-0.1	36	23	2.8	5.9	北北西	10.0	北北西	7.4	--	--	晴	曇一時晴	
1	29	1014.1	1018.6	--	--	--	2.9	6.8	1.0	29	17	4.6	9.2	北北西	15.9	北北西	8.4	--	--	晴一時曇	快晴	
1	30	1013.7	1018.3	--	--	--	3.7	6.4	1.2	26	20	3.0	6.7	北北西	11.5	北北西	9.4	--	--	晴	晴	
1	31	1013.3	1017.9	0.0	0.0	0.0	4.1	8.1	0.2	35	24	2.4	5.3	北北西	9.6	北北西	9.6	--	--	晴	晴	
2	1	1003.4	1007.9	--	--	--	6.0	12.4	0.1	37	26	4.3	9.2	南南西	19.5	西	6.2	--	--	晴後一時曇	快晴	
