Month	Date	Mean station level air pressure (hPa)	Mean sea level air pressure (hPa)	Total rainfall (mm)	Maximum rainfall per hour (mm)	Maximum rainfall per 10 minutes (mm)	Mean air temperature (℃)	Maximum temperature　(℃)	Minimum temperature　(℃)	Mean relative humidity　(%)	Minimum relative humidity (%)	Mean wind speed (m/s)	Maximum wind speed (m/s)	Direction of Maximum wind speed	Maximum instantaneous wind speed (m/s)	Direction of Maximum instantaneous wind speed	Sunshine duration (h)	Total snowfall (cm)	Maximum depth of snow cover (cm)	Meteorological summary 6:00-18:00	Meteorological summary 18:00- next day 6:00	
2	7	1004.2	1008.7	--	--	--	8.2	13.8	4.5	42	23	3.9	7.6	北西	14.0	北北西	9.4	--	--	快晴	晴後曇	
2	8	1007.3	1011.8	1.0	1.0	0.5	5.8	7.8	3.5	37	18	2.6	6.4	北西	10.1	北北西	0.5	--	--	曇	曇時々みぞれ一時雪、あられを伴う	
2	9	1001.4	1005.9	5.5	2.5	1.0	5.0	9.1	1.2	70	39	2.6	5.7	北北西	10.4	北北西	5.2	--	--	みぞれ後晴	晴後曇	
2	10	1009.6	1014.1	0.0	0.0	0.0	6.5	9.6	4.1	31	22	3.6	7.2	北北西	12.9	北北西	5.5	--	--	曇時々晴	曇後一時雪	
2	11	1010.9	1015.5	11.0	1.5	0.5	2.0	5.5	0.8	74	33	2.6	4.6	北北西	9.0	北	0.0	--	--	雪	みぞれ時々雪一時曇	
2	12	1002.3	1006.9	2.5	1.5	0.5	2.1	3.9	0.8	76	68	2.8	4.9	北西	8.9	北北西	0.1	--	--	曇後みぞれ一時雪	晴一時雨	
2	13	1012.0	1016.5	--	--	--	4.7	8.7	-0.2	41	23	2.9	6.0	北西	10.7	北北西	9.8	--	--	快晴	晴後曇	
2	14	1015.7	1020.3	21.0	5.0	1.0	3.3	6.6	0.3	57	38	2.4	4.7	北北東	8.4	北北西	0.4	2	2	曇時々雨一時雪	雪時々雨一時みぞれ	
2	15	1014.7	1019.3	2.5	2.0	0.5	5.3	10.3	0.7	58	31	3.1	7.4	北西	13.5	西北西	8.0	--	1	晴一時雨	快晴	
2	16	1022.1	1026.7	--	--	--	6.8	12.2	1.6	49	33	2.3	5.2	南南東	9.7	南南東	9.8	--	--	快晴	晴後曇	
2	17	1014.4	1018.8	0.0	0.0	0.0	10.0	14.6	5.6	59	45	2.7	7.2	南南西	13.0	南南西	1.8	--	--	曇	曇後大雨	
2	18	1001.9	1006.3	76.5	17.0	4.0	9.1	14.5	5.3	54	27	5.4	10.4	北西	21.2	北西	5.0	--	--	雨一時曇後晴	晴後一時曇	
2	19	1017.2	1021.8	--	--	--	6.1	8.7	3.7	41	31	3.0	6.0	北北西	12.1	北北西	0.3	--	--	曇	曇	
2	20	1018.3	1022.8	1.0	1.0	0.5	7.0	9.1	5.0	56	49	2.7	4.4	北東	9.9	北北東	0.0	--	--	曇	雨時々曇	
2	21	1019.8	1024.3	0.0	0.0	0.0	7.1	9.9	4.6	51	39	3.6	5.7	東北東	12.0	北東	3.6	--	--	曇後晴	快晴	
2	22	1021.9	1026.4	--	--	--	6.5	11.2	3.1	55	37	2.7	5.0	北東	9.1	東	10.3	--	--	晴	快晴	
